Vivado Simulator 2020.2
Time resolution is 1 ps
[MON] write: 1, addr: 00c, wdata: 58, rdata:58
[SCB] write: 1, addr: 00c, wdata: 58, rdata:58
[GEN] write: 1, addr: 00f, wdata: 63, rdata:xx
[DRV] write: 1, addr: 00f, wdata: 63, rdata:xx
[MON] write: 1, addr: 00f, wdata: 63, rdata:63
[SCB] write: 1, addr: 00f, wdata: 63, rdata:63
[GEN] write: 1, addr: 00e, wdata: 4c, rdata:xx
[DRV] write: 1, addr: 00e, wdata: 4c, rdata:xx
[MON] write: 1, addr: 00e, wdata: 4c, rdata:4c
[SCB] write: 1, addr: 00e, wdata: 4c, rdata:4c
[GEN] write: 1, addr: 00d, wdata: 07, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 07, rdata:xx
[MON] write: 1, addr: 00d, wdata: 07, rdata:07
[SCB] write: 1, addr: 00d, wdata: 07, rdata:07
[GEN] write: 1, addr: 00f, wdata: 12, rdata:xx
[DRV] write: 1, addr: 00f, wdata: 12, rdata:xx
[MON] write: 1, addr: 00f, wdata: 12, rdata:12
[SCB] write: 1, addr: 00f, wdata: 12, rdata:12
[GEN] write: 1, addr: 00d, wdata: 0d, rdata:xx
[DRV] write: 1, addr: 00d, wdata: 0d, rdata:xx
[MON] write: 1, addr: 00d, wdata: 0d, rdata:0d
[SCB] write: 1, addr: 00d, wdata: 0d, rdata:0d
[GEN] write: 1, addr: 012, wdata: 0f, rdata:xx
[DRV] write: 1, addr: 012, wdata: 0f, rdata:xx
[MON] write: 1, addr: 012, wdata: 0f, rdata:0f
[SCB] write: 1, addr: 012, wdata: 0f, rdata:0f
[GEN] write: 1, addr: 011, wdata: 3c, rdata:xx
[DRV] write: 1, addr: 011, wdata: 3c, rdata:xx
[MON] write: 1, addr: 011, wdata: 3c, rdata:3c
[SCB] write: 1, addr: 011, wdata: 3c, rdata:3c
[GEN] write: 1, addr: 013, wdata: 1a, rdata:xx
[DRV] write: 1, addr: 013, wdata: 1a, rdata:xx
